Rank,Year,Position,Name,Age,Wins,Losses,Winning_Percentage,Earned_Run_Average,Games_Played,Games_Started,Games_Finished,Complete_Games,Shutouts,Saves,Innings_Pitched,Hits_Allowed,Runs_Allowed,Earned_Runs,Home_Runs_Allowed,Walks_Allowed,Intentional_Walks_Allowed,Strikeouts,Hit_By_Pitch,Balks,Wild_Pitches,Batters_Faced,Adjusted_Earned_Run_Average,Fielding_Independent_Pitching,Walks_Hits_Per_Inning_Pitched,Hits_Per_Nine_Innings,Home_Runs_Per_Nine_Innings,Walks_Per_Nine_Innings,Strikeouts_Per_Nine_Innings,Strikeout_Walk_Ratio,Dominant_Hand,Switch_Hitter
8,1959,RP,Larry Sherry,23,7,2,0.778,2.19,23,9,10,1,1,3,94.1,75,27,23,9,43,5,72,2,0,1,392,193,3.69,1.251,7.2,0.9,4.1,6.9,1.67,Right,No
9,1959,RP,Art Fowler,36,3,4,0.429,5.31,36,0,17,0,0,2,61.0,70,39,36,8,23,7,47,0,1,0,271,80,3.84,1.525,10.3,1.2,3.4,6.9,2.04,Right,No
10,1959,RP,Johnny Klippstein,31,4,0,1.0,5.91,28,0,10,0,0,2,45.2,48,31,30,8,33,5,30,2,0,2,214,72,5.81,1.774,9.5,1.6,6.5,5.9,0.91,Right,No
11,1959,,Chuck Churn,29,3,2,0.6,4.99,14,0,6,0,0,1,30.2,28,17,17,2,10,4,24,1,0,0,125,86,2.9,1.239,8.2,0.6,2.9,7.0,2.4,Right,No
12,1959,,Gene Snyder,28,1,1,0.5,5.47,11,2,2,0,0,0,26.1,32,19,16,1,20,2,20,0,0,7,128,78,3.8,1.975,10.9,0.3,6.8,6.8,1.0,Left,No
13,1959,,Carl Erskine,32,0,3,0.0,7.71,10,3,2,0,0,1,23.1,33,22,20,5,13,1,15,0,0,1,117,56,5.71,1.971,12.7,1.9,5.0,5.8,1.15,Right,No
14,1959,,Fred Kipp,27,0,0,0.0,0.0,2,0,0,0,0,0,2.2,2,0,0,0,3,1,1,0,0,0,13,0,5.17,1.875,6.8,0.0,10.1,3.4,0.33,Left,No
15,1959,,Bill Harris,28,0,0,0.0,0.0,1,0,0,0,0,0,1.2,0,0,0,0,3,1,0,0,0,0,8,0,7.94,1.8,0.0,0.0,16.2,0.0,0.0,Right,No
1,1958,SP,Don Drysdale,21,12,13,0.48,4.17,44,29,7,6,1,0,211.2,214,107,98,21,72,6,131,14,2,8,913,100,3.75,1.351,9.1,0.9,3.1,5.6,1.82,Right,No
2,1958,SP,Johnny Podres,25,13,15,0.464,3.72,39,31,4,10,2,1,210.1,208,96,87,27,78,8,143,2,3,4,890,112,3.93,1.36,8.9,1.2,3.3,6.1,1.83,Left,No
3,1958,SP,Sandy Koufax,22,11,11,0.5,4.48,40,26,7,5,0,1,158.2,132,89,79,19,105,6,131,1,0,17,714,93,4.38,1.494,7.5,1.1,6.0,7.4,1.25,Left,No
4,1958,SP,Stan Williams,21,9,7,0.563,4.01,27,21,2,3,2,0,119.0,99,58,53,10,65,1,80,7,0,5,516,104,4.04,1.378,7.5,0.8,4.9,6.1,1.23,Right,No
5,1958,SP,Danny McDevitt,25,2,6,0.25,7.45,13,10,3,2,0,0,48.1,71,43,40,6,31,1,26,0,0,7,238,56,4.94,2.11,13.2,1.1,5.8,4.8,0.84,Left,No
6,1958,CL,Clem Labine,31,6,6,0.5,4.15,52,2,35,0,0,14,104.0,112,55,48,8,33,8,43,1,0,3,440,100,3.63,1.394,9.7,0.7,2.9,3.7,1.3,Right,No
7,1958,RP,Fred Kipp,26,6,6,0.5,5.01,40,9,8,0,0,1,102.1,107,60,57,16,45,7,58,1,0,4,443,83,4.72,1.485,9.4,1.4,4.0,5.1,1.29,Left,No
8,1958,RP,Carl Erskine,31,4,4,0.5,5.13,31,9,11,2,1,0,98.1,115,61,56,14,35,3,54,0,0,6,436,81,4.3,1.525,10.5,1.3,3.2,4.9,1.54,Right,No
9,1958,RP,Johnny Klippstein,30,3,5,0.375,3.8,45,0,22,0,0,9,90.0,81,40,38,12,44,8,73,2,0,5,381,110,4.12,1.389,8.1,1.2,4.4,7.3,1.66,Right,No
10,1958,RP,Ed Roebuck,26,0,1,0.0,3.48,32,0,13,0,0,5,44.0,45,22,17,9,15,3,26,2,1,1,188,120,5.11,1.364,9.2,1.8,3.1,5.3,1.73,Right,No
11,1958,,Don Newcombe,32,0,6,0.0,7.86,11,8,2,1,0,0,34.1,53,37,30,11,8,1,16,0,0,0,163,53,6.41,1.777,13.9,2.9,2.1,4.2,2.0,Right,No
12,1958,,Babe Birrer,28,0,0,0.0,4.5,16,0,6,0,0,1,34.0,43,20,17,4,7,3,16,1,0,1,149,93,3.77,1.471,11.4,1.1,1.9,4.2,2.29,Right,No
13,1958,,Roger Craig,28,2,1,0.667,4.5,9,2,1,1,0,0,32.0,30,20,16,3,12,1,16,0,1,3,136,93,3.82,1.313,8.4,0.8,3.4,4.5,1.33,Right,No
14,1958,,Bob Giallombardo,21,1,1,0.5,3.76,6,5,1,0,0,0,26.1,29,14,11,3,15,0,14,0,1,3,120,112,4.6,1.671,9.9,1.0,5.1,4.8,0.93,Left,No
15,1958,,Don Bessent,27,1,0,1.0,3.33,19,0,0,0,0,0,24.1,24,14,9,3,17,0,13,1,0,0,107,127,5.23,1.685,8.9,1.1,6.3,4.8,0.76,Right,No
16,1958,,Ralph Mauriello,23,1,1,0.5,4.63,3,2,0,0,0,0,11.2,10,6,6,1,8,0,11,0,1,1,51,92,3.76,1.543,7.7,0.8,6.2,8.5,1.38,Right,No
17,1958,,Ron Negray,28,0,0,0.0,7.15,4,0,1,0,0,0,11.1,12,9,9,4,7,0,2,0,1,1,51,60,8.56,1.676,9.5,3.2,5.6,1.6,0.29,Right,No
18,1958,,Larry Sherry,22,0,0,0.0,12.46,5,0,1,0,0,0,4.1,10,7,6,0,7,1,2,1,0,1,29,36,7.09,3.923,20.8,0.0,14.5,4.2,0.29,Right,No
19,1958,,Jackie Collum,31,0,0,0.0,8.1,2,0,0,0,0,0,3.1,4,3,3,2,2,0,0,0,0,0,15,57,12.08,1.8,10.8,5.4,5.4,0.0,0.0,Left,No
